Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country
Balanced Growth,Listed equity,BEACON LIGHTING GROUP LTD COMMON STOCK AUD 0,BKXF175,SEDOL,
Balanced Growth,Listed equity,BEACON ROOFING SUPPLY INC COMMON STOCK USD 0.01,B02TS99,SEDOL,
Balanced Growth,Listed equity,BECTON DICKINSON,2087807,SEDOL,
Balanced Growth,Listed equity,BEGA CHEESE LTD,B56CQJ5,SEDOL,
Balanced Growth,Listed equity,BEIGENE ADR (CN),BYYWPW6,SEDOL,
Balanced Growth,Listed equity,BEIJING AOSAIKANG PHARMACEUTICAL CO LTD COMMON STOCK CNY 1,BKDQ7Z8,SEDOL,
Balanced Growth,Listed equity,BEIJING ENTERPRISES HLDG,6081690,SEDOL,
Balanced Growth,Listed equity,BEIJING ORIENT NATIONAL COMMUNICATION SCIENCE & TECHNOLOGY C,BD5CFD9,SEDOL,
Balanced Growth,Listed equity,BEIJING SHANGHAI A(HK-C),BL58M76,SEDOL,
Balanced Growth,Listed equity,BEIJING SIFANG AUTOMATION CO LTD COMMON STOCK CNY 1,BP3RFT6,SEDOL,
Balanced Growth,Listed equity,BEIJING TEAMSUN TECHNOLOGY CO LTD COMMON STOCK CNY 1,BP3RFM9,SEDOL,
Balanced Growth,Listed equity,BELLEVUE GOLD LTD,BFZ31P0,SEDOL,
Balanced Growth,Listed equity,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,B4XY9X2,SEDOL,
Balanced Growth,Listed equity,BERKLEY (W.R.) CORP,2093644,SEDOL,
Balanced Growth,Listed equity,BERKSHIRE HATHAWAY B,2073390,SEDOL,
Balanced Growth,Listed equity,BEST BUY CO,2094670,SEDOL,
Balanced Growth,Listed equity,BET SHEMESH ENGINES HOLDINGS 1997 LTD COMMON STOCK ILS 1,6103936,SEDOL,
Balanced Growth,Listed equity,BEYONDSOFT CORP COMMON STOCK CNY 1,BD5C799,SEDOL,
Balanced Growth,Listed equity,BGF RETAIL (NEW),BD95QN1,SEDOL,
Balanced Growth,Listed equity,BHARAT ELECTRONICS LTD COMMON STOCK INR 1,BF1THH6,SEDOL,
Balanced Growth,Listed equity,BHARAT PETROLEUM CORP,6099723,SEDOL,
Balanced Growth,Listed equity,BHARTI AIRTEL,6442327,SEDOL,
Balanced Growth,Listed equity,BHARTI HEXACOM LTD COMMON STOCK INR 5,BMDR2V6,SEDOL,
Balanced Growth,Listed equity,BHP GROUP (AU),6144690,SEDOL,
Balanced Growth,Listed equity,BID CORPORATION,BZBFKT7,SEDOL,
Balanced Growth,Listed equity,BIDVEST GROUP,6100089,SEDOL,
Balanced Growth,Listed equity,BIONTECH SE ADR USD,BK6H543,SEDOL,
Balanced Growth,Listed equity,BK SANTANDER BRASIL UNIT,B4V5RY4,SEDOL,
Balanced Growth,Listed equity,BKI HOLDINGS PCL FOREIGN SH. THB 10,BS0BB49,SEDOL,
Balanced Growth,Listed equity,BKW AG COMMON STOCK CHF 2.5,B76D410,SEDOL,
