Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,CURRENCY,Stock ID,Listed Country,% Ownership,Units Held,Adress,Value (AUD),Weighting (%)
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ACN,US,,"13,730",-,7801248.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TJX,US,,"39,915",-,7788427.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,GE,US,,"28,840",-,7768805.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CL,US,,"52,595",-,7722501.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,DGE,LN,,"150,288",-,7714025.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NESN,SW,,"57,745",-,7706040.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,KO,US,,"76,379",-,7680439.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,COF,US,,"26,641",-,7672958.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SFR,AU,,"825,570",-,7661293.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MPL,AU,,"2,018,207",-,7649004.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ETN,US,,"14,034",-,7522853.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TT,US,,"12,599",-,7516244.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,DSV,DC,,"21,914",-,7514379.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,DOW,AU,,"1,412,529",-,7415779.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,IPL,AU,,"2,513,565",-,7364746.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ABBN,SW,,"83,744",-,7323669.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,T,US,,"197,078",-,7247779.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,KEYS,US,,"27,531",-,7142326.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TLC,AU,,"1,442,641",-,7126646.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ABT,US,,"38,815",-,7090915.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,VZ,US,,"109,648",-,7081962.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BBCA,IJ,,"7,278,889",-,7066902.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AMAT,US,,"26,890",-,7062994.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NWL,AU,,"245,098",-,7046567.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,PFE,US,,"164,183",-,7035096.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,LNW,AU,,"51,152",-,7015972.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AZN,LN,,"32,531",-,6888282.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,GS,US,,"7,405",-,6849271.0,0.07
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MSI,US,,"9,147",-,6828408.0,0.07
