AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,SUNCORP GROUP LTD.,n/a,n/a,n/a,n/a,n/a,"$37,541,385",0.16%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,MIZUHO BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$33,562,282",0.14%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",n/a,n/a,n/a,n/a,n/a,"$27,564,918",0.11%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,BENDIGO & ADELAIDE BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$27,371,907",0.11%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,GOLDMAN SACHS BANK USA,n/a,n/a,n/a,n/a,n/a,"$18,217,770",0.08%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,SUMITOMO MITSUI BANKING CORP.,n/a,n/a,n/a,n/a,n/a,"$17,841,747",0.07%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,STANDARD CHARTERED BANK,n/a,n/a,n/a,n/a,n/a,"$12,333,135",0.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,AGRICULTURAL BANK OF CHINA LTD.,n/a,n/a,n/a,n/a,n/a,"$11,789,220",0.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,DBS BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$10,974,729",0.05%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,HERITAGE & PEOPLE'S CHOICE LTD.,n/a,n/a,n/a,n/a,n/a,"$7,278,624",0.03%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,TEACHERS MUTUAL BANK LTD.,n/a,n/a,n/a,n/a,n/a,"$5,487,364",0.02%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,IMB LTD.,n/a,n/a,n/a,n/a,n/a,"$5,200,224",0.02%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,RACQ BANK,n/a,n/a,n/a,n/a,n/a,"$1,097,472",0.00%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,"$989,211,960",4.09%,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,n/a,n/a,n/a,n/a,n/a,"$931,461,021",3.85%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,"STATE STREET GLOBAL ADVISORS, AUSTRALIA, LIMITED",n/a,n/a,n/a,n/a,n/a,"$709,246,531",2.93%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,MACQUARIE ASSET MANAGEMENT,n/a,n/a,n/a,n/a,n/a,"$402,765,682",1.67%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,CHALLENGER INVESTMENT SOLUTIONS MANAGEMENT LTD,n/a,n/a,n/a,n/a,n/a,"$329,345,125",1.36%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,COLCHESTER GLOBAL INVESTORS LTD,n/a,n/a,n/a,n/a,n/a,"$257,536,161",1.06%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Externally Managed,BARINGS LLC,n/a,n/a,n/a,n/a,n/a,"$219,893,434",0.91%,,,,,
