Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.75% PERP NON-CUM RED T-10-26
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.85% PERP NON-CUM RED T-06-28
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+3.00% PERP NON-CUM RED T-04-27
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+3.40% PERP NON-CUM RED T-04-25
Compass Group PLC,LN,COMPASS GROUP PLC
Computershare Ltd,AU,COMPUTERSHARE LTD
Conagra Brands Inc,US,CONAGRA BRANDS INC
ConocoPhillips,US,CONOCOPHILLIPS
Consolidated Edison Inc,US,CONSOLIDATED EDISON INC COM
Constellation Energy Corp,US,CONSTELLATION ENERGY CORP
Contact Energy Ltd,AU,CONTACT ENERGY LTD
Contemporary Amperex Technology Co Ltd,C2,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD
Continental AG,GR,CONTINENTAL AG
Copart Inc,US,COPART INC
Corpay Inc,US,CORPAY INC COM USD 0.001
Costco Wholesale Corp,US,COSTCO WHOLESALE CORP
Coupang Inc,US,COUPANG INC COM CL A SHS ORD
Cousins Properties Inc,US,COUSINS PROPERTIES INC
Covivio SA/France,FP,COVIVIO
Coway Co Ltd,KS,COWAY CO LTD
Credit Agricole SA,FP,CREDIT AGRICOLE SA
Credit Agricole SA,TH,CREDIT AGRICOLE SA
Croda International PLC,LN,CRODA INTERNATIONAL PLC
Cromwell Property Group,AU,CROMWELL PROPERTY GROUP
Crowdstrike Holdings Inc,US,CROWDSTRIKE HOLDINGS INC
Crown Holdings Inc,US,CROWN HOLDINGS INC
CubeSmart,US,CUBESMART COM
Cummins Inc,US,CUMMINS INC
Cummins India Ltd,IN,CUMMINS INDIA LTD
CyberArk Software Ltd,US,CYBERARK SOFTWARE LTD
DBS Group Holdings Ltd,SP,DBS GROUP HOLDINGS LTD
DNB Bank ASA,NO,DNB BANK ASA
DR Horton Inc,US,DR HORTON INC
DSM-Firmenich AG,,DSM FIRMENICH AG EUR0.01
DSV A/S,DC,DSV A/S
DaVita Inc,US,DAVITA INC
Dai Nippon Printing Co Ltd,JP,DAI NIPPON PRINTING CO LTD
