Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,Auckland International Airport Ltd,,AIA,NZ,19264.0,,,151651.0,0.0,NZ,New Zealand
31/12/2024,Care Super,Balanced,Listed Equity,1,Auckland International Airport Ltd,,AIA,AU,1250069.0,,,9700536.0,0.0002,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Audinate Group Ltd,,AD8,AU,13277.0,,,98383.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Aurizon Holdings Ltd,,AZJ,AU,5941325.0,,,19309305.0,0.0005,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Aurora Solar Technologies Inc,,ACU,CN,12352779.0,,,312128.0,0.0,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,Aussie Broadband Ltd,,ABB,AU,4410121.0,,,15788232.0,0.0004,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Austal Ltd,,ASB,AU,47954.0,,,148657.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Austin Engineering Ltd,,ANG,AU,4416658.0,,,2252496.0,0.0001,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Australian Clinical Labs Ltd,,ACL,AU,19553.0,,,67264.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Australian Ethical Investment Ltd,,AEF,AU,29259.0,,,157415.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Australian Finance Group Ltd,,AFG,AU,56861.0,,,85860.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Auto Trader Group PLC,,AUTO,LN,58841.0,,,943852.0,0.0,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,Autodesk Inc,,ADSK,US,88349.0,,,42175918.0,0.001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Autohome Inc,,ATHM,US,6163.0,,,258311.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Autoliv Inc,,ALIV,SS,5774.0,,,866064.0,0.0,SS,Sweden
31/12/2024,Care Super,Balanced,Listed Equity,1,Automatic Data Processing Inc,,ADP,US,69035.0,,,32639162.0,0.0008,US,United States
