Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
SAINSBURYS J P L C ORD,B019KW7,"13,385","74,075",0.00%
SALESFORCE INC,2310525,"9,513","5,137,000",0.01%
SALMAR ASA NOK0.25,B1W5NW2,"1,530","117,633",0.00%
SAMPO OYJ-A SHS,BMXX645,"3,021","198,964",0.00%
SAMSARA INC-CL A,BPK3058,"672,981","47,488,583",0.06%
SAMSUNG C&T CORP,BSXN8K7,"85,355","10,750,361",0.01%
SAMSUNG E&A CO LTD,6765239,"251,842","4,572,761",0.01%
SAMSUNG ELECTR-GDR 144A GDR REP 1/2 ORD,B01D632,"13,888","20,411,554",0.02%
SAMSUNG ELECTRO MECHANICS,6771689,"202,306","27,477,759",0.03%
SAMSUNG ELECTRONICS CO LTD,6771720,"2,063,463","120,437,344",0.15%
SAMSUNG ELECTRONICS-PFD NV,6773812,"216,222","10,485,155",0.01%
SAMSUNG SDI CO LTD,6771645,"78,685","21,365,786",0.03%
SANDFIRE RESOURCES LTD,6739739,"6,838,183","63,458,335",0.08%
SANDOZ GROUP AG,BLPLD38,"4,200","278,246",0.00%
SANDS CHINA LTD,B5B23W2,"3,563,973","15,487,386",0.02%
SANDVIK AB ORD,B1VQ252,"11,139","322,878",0.00%
SANGFOR TECHNOLOGIES INC-A,BHQPS70,"66,921","845,074",0.00%
SANLAM LTD SLM,B0L6750,"1,932,043","14,367,046",0.02%
SANOFI SYNTHELABO,5671735,"10,424","1,634,263",0.00%
SANSURE BIOTECH INC-A,CNE1000043J1 (ISIN),"6,614","33,029",0.00%
SANTANA MINERALS LTD NPV,B9J8CP6,"5,945,936","2,883,779",0.00%
SANTOS LIMITED NPV,6776703,"36,540,394","244,089,832",0.30%
SANY HEAVY INDUSTRY CO LTD-A,BP3R3H0,"68,822","249,520",0.00%
SAP SE,4846288,"112,834","44,592,270",0.05%
SAPUTO INC,2112226,"1,844","51,743",0.00%
SARTORIUS AG-VORZUG SRT3,5843329,"71,631","25,780,824",0.03%
SARTORIUS STEDIM BIOTECH,BYZ2QP5,284,"89,554",0.00%
SAYONA MINING LTD,BBX4LR9,"63,139,571","1,704,768",0.00%
SBA COMMUNICATIONS CORP-CL A,BZ6TS23,"1,210","398,183",0.00%
SBERBANK-SPONSORED ADR,B5SC091,"264,416",0,0.00%
SBI HOLDINGS INC,6309466,"2,693","110,191",0.00%
SCB X PCL-FOREIGN,BPH0717,"483,725","2,681,023",0.00%
SCENTRE GROUP SMART COMMUNICATIONS GROUP,BLZH0Z7,"17,261,397","59,206,592",0.07%
SCHINDLER HOLDING AG-REG CHF0.1(REGD)(PO,B11WWH2,-34,"-15,117",0.00%
SCHINDLER HOLDING-PART CERT PTG CERT CHF,B11TCY0,624,"278,584",0.00%
SCHLUMBERGER LTD COM,2779201,"13,242","820,004",0.00%
SCHNEIDER ELECTRIC SE,4834108,"5,671","2,284,922",0.00%
SCHRODERS PLC,BP9LHF2,"-1,647","-10,778",0.00%
SCHWAB CHARLES CORP NE COM,2779397,"367,237","43,897,636",0.05%
SCORPIO TANKERS INC,BHXD297,"60,085","4,822,121",0.01%
SCOUT24 SE,BYT9340,380,"54,035",0.00%
SCP POOL CORP COM,2781585,"28,398","15,637,710",0.02%
SCREEN HOLDINGS CO LTD,6251028,778,"75,867",0.00%
SCSK CORP,6858474,-811,"-27,774",0.00%
SD GUTHRIE BD,BF6RHY2,"1,265,179","2,262,085",0.00%
SDIC ESSENCE HOLDINGS CO L-A,BYYFJ78,"473,847","783,927",0.00%
SEA LTD-ADR SE,BYWD7L4,"437,653","74,997,898",0.09%
SEADRILL LIMITED,BNTBRX6,"159,745","10,044,230",0.01%
SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,"35,150","4,899,951",0.01%
SEB SA EUR3,4792132,-15,"-2,262",0.00%
SECOM CO LTD,6791591,"170,222","9,392,256",0.01%
SECURITAS AB-B SHS,5554041,"9,574","191,596",0.00%
SEEK LTD NPV,B0767Y3,"4,894,636","110,471,926",0.14%
SEGRO PLC ORD GBP0.27083333,B5ZN1N8,"8,163","115,781",0.00%
SEI INVESTMENTS COMPANY COM USD0.01,2793610,731,"97,342",0.00%
SEIKO EPSON CORP,6616508,"1,365","40,351",0.00%
SEKISUI CHEMICAL CO,6793821,"4,058","113,232",0.00%
SEKISUI HOUSE LTD SHS,6793906,"4,270","165,969",0.00%
SEKISUI JUSHI CORP NPV,6793843,"215,166","4,694,449",0.01%
SELECT HARVESTS LIMITED NPV,6260723,"2,758,732","11,724,611",0.01%
SEMBCORP INDUSTRIES LIMITED,B08X163,"10,978","71,744",0.00%
SEMPRA ENERGY COM,2138158,"6,161","872,906",0.00%
SENDAS DISTRIBUIDORA SA,BMZ9R04,"9,412,361","13,853,987",0.02%
SERVICE CORP INTL COM,2797560,"319,186","41,149,014",0.05%
SERVICE STREAM LTD NPV,B04KLG8,"8,274,876","12,908,807",0.02%
SERVICENOW INC COM USD0.001,B80NXX8,"4,365","7,473,469",0.01%
SEVEN & I HOLDINGS CO LTD NPV,B0FS5D6,"21,295","544,268",0.00%
SEVERN TRENT PLC,B1FH8J7,"7,008","355,520",0.00%
SG HOLDING CO LTD,BFFY885,"11,333","175,408",0.00%
SGH LTD,AU0000364754 (ISIN),"2,371,099","109,331,367",0.13%
SGS SA-REG,CH1256740924,"1,474","238,697",0.00%
SHANDONG HIMILE MECHANICAL-A 'A'CNY1,BD5CFQ2,"480,697","5,307,716",0.01%
SHANDONG HI-SPEED CO LTD -A,BP3R745,"1,490,288","3,370,411",0.00%
SHANDONG LINGLONG TYRE CO -A,BYW5N12,"502,289","1,993,469",0.00%
SHANDONG NANSHAN ALUMINUM-A,BP3R9D8,"13,314,873","11,453,369",0.01%
SHANDONG PUBLISHING & MEDI-A,BFYQHB8,"708,604","1,769,370",0.00%
SHANGHAI CONSTRUCTION CO-A,BP3R6J3,"2,616,236","1,525,254",0.00%
SHANGHAI HIUV NEW MATERIAL-A,CNE100004BY5 (ISIN),"5,914","43,951",0.00%
SHANGHAI JUNSHI BIOSCIENCE-A,BLCD7F7,"74,202","446,143",0.00%
SHANGHAI PHARMACEUTICALS-A,BP3R4Z5,"354,986","1,640,024",0.00%
SHANGHAI PUDONG DEVEL BANK-A,BP3R2B7,"5,351,790","12,115,293",0.01%
SHANGHAI SMI HOLDING CO LTD,CNE0000005R5 (ISIN),"148,823","145,697",0.00%
SHANGHAI V-TEST SEMICONDUC-A,CNE100005NK6 (ISIN),"40,320","519,092",0.00%
SHANGHAI ZHENHUA HEAVY IND-A,CNE000001683 (ISIN),"117,416","101,259",0.00%
SHELF DRILLING LTD,BDVKB40,"1,557,766","2,085,696",0.00%
SHELL PLC-NEW,BP6MXD8,"195,760","9,804,407",0.01%
SHENNAN CIRCUITS CO LTD-A,BFY8GV7,"74,222","2,041,079",0.00%
SHENZHEN CHIPSCREEN BIOSCI-A,CNE100003LW0 (ISIN),"23,671","96,757",0.00%
SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,"769,357","9,915,095",0.01%
SHENZHEN JPT OPTO-ELECTRON-A,CNE1000062T0 (ISIN),"4,415","46,131",0.00%
SHENZHEN MINDRAY BIO-MEDIC-A,BHQK864,"189,433","10,627,124",0.01%
SHENZHEN SUNLORD ELECTRONI-A,BD5C841,"69,203","479,266",0.00%
SHERWIN WILLIAMS CO COM,2804211,"2,373","1,302,766",0.00%
SHIMADZU CORPORATION,6804369,"2,707","124,117",0.00%
SHIMANO INC SHIMANO INC,6804820,849,"186,529",0.00%
SHIN ETSU CHEMICAL CO LTD,6804585,"17,459","950,247",0.00%
SHINHAN FINANCIAL GROUP LTD,6397502,"416,646","21,781,288",0.03%
SHIONOGI & CO LTD,6804682,"10,413","237,460",0.00%
SHISEIDO CO LTD ORD,6805265,"4,470","128,007",0.00%
SHIZUOKA FINANCIAL GROUP INC,BP38QJ6,"11,872","156,717",0.00%
SHOPIFY INC - A SH,BX865C7,"11,465","1,969,765",0.00%
SHOPIFY INC - A SH,BXDZ9Z0,"525,716","90,284,135",0.11%
SIBANYE STILLWATER LTD,BL0L913,"19,200,093","24,617,614",0.03%
SICHUAN CHUANTOU ENERGY CO-A,BP3R4Y4,"1,042,756","3,957,231",0.00%
SICHUAN KELUN PHARMACEUTIC-A,BD5CL08,"822,978","5,418,941",0.01%
SIEMENS A G ORD,5727973,"6,930","2,185,522",0.00%
SIEMENS ENERGY AG SIEMENS ENERGY AG,BMTVQK9,"7,203","606,951",0.00%
SIEMENS HEALTHINEERS AG,BD594Y4,"3,171","271,543",0.00%
SIEYUAN ELECTRIC CO LTD-A,BD5C7M2,"3,498","55,949",0.00%
SIG GROUP AG,BD5GN60,"15,032","478,998",0.00%
SIGMA COMPANY LIMITED SIG,BF13K02,"21,028,341","55,094,254",0.07%
SIKA AG-BR,BF2DSG3,"1,830","703,925",0.00%
SILEX SYSTEMS LIMITED NPV,6111735,"2,412,623","12,183,748",0.01%
SIMON PROPERTY GROUP INC COM USD0.0001,2812452,"3,148","875,636",0.00%
SIMS LTD,B0LCW75,"6,025,734","71,585,718",0.09%
SINGAPORE AIRLINES LTD,6811734,"6,427","49,002",0.00%
SINGAPORE EXCHANGE LTD,6303866,"13,687","206,440",0.00%
SINGAPORE TECH ENGINEERING,6043214,"1,878","10,362",0.00%
SINGAPORE TELECOMMUNICATIONS,B02PY11,"104,059","379,451",0.00%
SINO BIOPHARMACEUTICAL,B00XSF9,"29,310,679","19,501,734",0.02%
SINO LAND CO,6810429,"15,985","26,091",0.00%
SIRIUS XM HOLDINGS INC,BQWS627,"12,473","459,319",0.00%
SISTEMA PJSC FC,B5B6XH9,"96,433",0,0.00%
SITC INTERNATIONAL HOLDINGS,B61X7R5,"13,103","56,396",0.00%
SITEMINDER LTD,BLH35X6,"141,461","854,422",0.00%
SITIOS LATINOAMERICA SAB DE,BNTFDQ3,"6,685","1,734",0.00%
SITIOS LATINOAMERICA SA-RTS29NOV2024,MX01LA080009 (ISIN),"6,685",0,0.00%
SK HYNIX INC,6450267,"957,380","182,657,179",0.22%
SK KAKEN CO LTD NPV,6826578,"58,737","5,692,315",0.01%
SK TELECOM CO LTD ORD,6224871,"296,865","17,978,400",0.02%
SKANDINAVISKA ENSKILDA BAN-A SHS A,4813345,"15,133","335,024",0.00%
SKANSKA AB-B SHS,7142091,"1,686","57,344",0.00%
SKF AB-B SHARES,B1Q3J35,"2,028","61,528",0.00%
SKILLSOFT CORP,BMCZQ19,"302,016","11,687,481",0.01%
SKYCITY ENTERTAINMENT GROUP,6151311,"16,282,310","21,329,826",0.03%
SKYWORKS SOLUTIONS INC COM,2961053,"1,857","265,978",0.00%
SL GREEN REALTY CORP,BPGKM57,"73,413","8,053,365",0.01%
SMARTGROUP CORP LTD SMARTGROUP CORP LTD,BNB5WS6,"165,710","1,287,563",0.00%
SMARTONE TELECOMM HLDG ORD,6856995,"1,175,826","1,009,695",0.00%
SMC CORPORATION,6763965,555,"354,831",0.00%
SMITH & NEPHEW PLC -NEW,922320,"8,422","168,899",0.00%
SMITH (A.O.) CORP COM USD1,2816023,"95,125","10,479,699",0.01%
SMITHS INDUSTRIES PLC,B1WY233,"1,807","62,831",0.00%
SMUCKER J M CO COM NEW,2951452,"1,195","212,510",0.00%
SMURFIT WESTROCK PLC,BRK49M5,"5,959","518,336",0.00%
SNAM SPA,7251470,"25,707","183,884",0.00%
SNAP INC - A SNAP,BD8DJ71,"9,606","167,091",0.00%
SNAP ON INC COM,2818740,401,"219,765",0.00%
SNOWFLAKE INC-CLASS A,BN134B7,"2,757","687,475",0.00%
SOCIETE GENERALE,5966516,"6,989","317,453",0.00%
SODEXHO ALLIANCE SA SODEXHO ALLIANCE SA,7062713,767,"102,086",0.00%
SOFINA NPV,4820301,92,"33,667",0.00%
SOFTBANK CORP,BF5M0K5,"287,124","586,902",0.00%
SOFTBANK GROUP CORP,6770620,"9,930","937,290",0.00%
S-OIL CORPORATION,6406055,"211,989","12,745,177",0.02%
SOLLERS PJSC SVAV,7425305,"58,320",0,0.00%
SOLVENTUM CORP-W/I,BMTQB43,"1,460","155,757",0.00%
SOMPO HOLDINGS INC,B62G7K6,"11,014","466,213",0.00%
SONIC HEALTHCARE LTD,6821120,"889,102","24,014,648",0.03%
Sonova Holding AG,7156036,"47,171","24,909,235",0.03%
SONY GROUP CORP,6821506,"508,161","17,593,985",0.02%
SOOCHOW SECURITIES CO LTD-A,BP3R6Z9,"822,293","1,411,045",0.00%
SOUTH32 LTD S32,BWSW5D9,"39,170,784","133,180,665",0.16%
SOUTHERN CO COM,2829601,"10,458","1,390,477",0.00%
SOUTHWEST AIRLS CO COM,2831543,927,"50,314",0.00%
SPARK NEW ZEALAND LTD,6881500,"5,914,706","15,910,560",0.02%
SPARTAN RESORCES LTD/AUSTRA,BS2L471,"13,670,869","19,275,925",0.02%
SPIRAX GROUP PLC,BWFGQN1,525,"72,763",0.00%
SPOTIFY TECHNOLOGY SA SPOT,BFZ1K46,"89,646","64,775,440",0.08%
SQUARE ENIX HOLDINGS CO LTD,6309262,"54,029","3,413,096",0.00%
SS&C TECHNOLOGIES HOLDINGS,B58YSC6,"2,991","366,029",0.00%
SSE PLC,790873,"11,347","368,144",0.00%
ST JAMES'S PLACE CAPITAL PLC ST JAMES'S,766937,"1,147,800","20,152,702",0.02%
STANDARD CHARTERED PLC,408284,"30,010","600,115",0.00%
STANDARDAERO INC,US85423L1035 (ISIN),"34,874","1,394,604",0.00%
STANLEY BLACK & DECKER INC,B3Q2FJ4,"1,383","179,384",0.00%
STANMORE COAL LTD NPV,B4KDPZ6,"2,073,896","6,242,427",0.01%
STANTEC INC COM NPV,2854238,"1,105","139,974",0.00%
STAR ENTERTAINMENT GRP LTD,BD5ZR98,"92,324","17,542",0.00%
STARBUCKS CORP COM,2842255,"141,298","20,824,396",0.03%
STATE BANK OF INDIA,BSQCB24,"66,435","996,289",0.00%
STATE STR CORP COM,2842040,"3,190","505,621",0.00%
STEADFAST GROUP LTD NPV,BCT5FD7,"1,151,783","6,680,341",0.01%
STEEL DYNAMICS INC COM,2849472,"49,623","9,142,372",0.01%
STELLANTIS NV,BMD8F98,"156,548","3,310,436",0.00%
STELLANTIS NV,BMD8KX7,"21,945","462,068",0.00%
STERIS PLC,BFY8C75,794,"263,586",0.00%
STMICROELECTRONICS NV,5962332,"6,879","279,265",0.00%
STOCKLAND NPV (STAPLED),6850856,"10,193,947","48,930,945",0.06%
STORA ENSO OYJ-R SHS,5072673,"3,737","60,734",0.00%
STRAUMANN HOLDING AG-REG,BQ7ZV06,"1,163","236,777",0.00%
STRIKE ENERGY LTD NPV,B01NQF4,"9,213,653","1,934,867",0.00%
STRYKER CORP COM,2853688,"3,378","1,964,501",0.00%
SUBARU CORP,6356406,"4,963","143,888",0.00%
SUMEC CORP LTD-A,BMF4S06,"138,253","282,863",0.00%
SUMITOMO CORPORATION,6858946,"11,481","404,476",0.00%
SUMITOMO ELECTRIC INDS ORD,6858708,"5,801","170,128",0.00%
SUMITOMO FORESTRY CO LTD,6858861,"136,647","7,434,387",0.01%
SUMITOMO METAL MINING CO LTD,6858849,"2,142","79,533",0.00%
SUMITOMO MITSUI FINANCIAL GR,6563024,"244,751","9,467,523",0.01%
SUMITOMO MITSUI TRUST GROUP,6431897,"199,123","7,555,192",0.01%
SUMITOMO OSAKA CEMENT CO LTD,6858548,"93,262","3,179,157",0.00%
SUMITOMO REALTY & DEVELOPMNT,6858902,"2,876","146,022",0.00%
SUN COMMUNITIES INC COM USD0.01,2860257,"1,024","203,323",0.00%
SUN CORP,6507118,"102,428","10,347,446",0.01%
SUN HUNG KAI PROPERTIES,6859927,"12,502","194,040",0.00%
SUN LIFE FINANCIAL INC,2566124,"6,251","599,126",0.00%
SUNCOR ENERGY INC COM,B3NB1P2,"169,548","9,769,682",0.01%
SUNCORP GROUP LTD,6585084,"4,854,336","92,280,933",0.11%
SUNGROW POWER SUPPLY CO LT-A,BD5CGB4,"171,790","2,790,290",0.00%
SUNTORY BEVERAGE & NPV,BBD7Q84,"2,482","127,861",0.00%
SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,"55,894","274,339",0.00%
SUPER MICRO COMPUTER INC,US86800U3023 (ISIN),"5,519","271,710",0.00%
SUPER RETAIL GROUP LTD,B01C7R0,"627,500","9,525,455",0.01%
SUPERLOOP LTD SLC,BYPC6V1,"4,535,002","9,931,654",0.01%
SUZUKI MOTOR CORPORATION,6865504,"14,387","264,654",0.00%
SVB FINANCIAL GROUP COM USD0.001,2808053,"5,259",51,0.00%
SVENSKA CELLULOSA AB-B SHS,B1VVGZ5,"7,185","147,511",0.00%
SVENSKA HANDELSBANKEN-A,BXDZ9Q1,"22,802","380,642",0.00%
SVITZER A/S,BPXW7F1,"2,159","108,535",0.00%
SWATCH GROUP AG/THE-BR,7184725,134,"39,365",0.00%
SWEDBANK AB - A SHARES,4846523,"11,165","356,280",0.00%
SWEDISH ORPHAN BIOVITRUM AB,B1CC9H0,"3,542","164,316",0.00%
SWIRE PACIFIC LTD  'A',6867748,"3,405","49,877",0.00%
SWIRE PACIFIC LTD 'B',6867760,"1,372,960","3,197,225",0.00%
SWISS LIFE HOLDING AG-REG,7437805,329,"410,289",0.00%
SWISS PRIME SITE-REG CHF25.60(REGD),B083BH4,551,"97,060",0.00%
SWISS RE AG,B545MG5,"2,893","676,416",0.00%
SWISSCOM AG ORD SHS(REGD),5533976,344,"309,135",0.00%
SYENSQO SA,BPSLYH4,894,"105,524",0.00%
SYLVANIA PLATINUM LTD,B3V5PR6,"2,980,460","2,520,036",0.00%
SYMBOTIC INC,BPG82M8,"333,252","12,761,678",0.02%
SYMRISE AG NPV (BR),B1JB4K8,"1,387","238,196",0.00%
SYNCHRONY FINANCIAL SYF,BP96PS6,"236,307","24,808,165",0.03%
SYNOPSYS INC COM,2867719,"51,217","40,149,362",0.05%
SYNTHOMER PLC,BNTVWJ7,"721,071","2,348,286",0.00%
SYRAH RESOURCES LTD NPV,B23HV20,"21,200,368","4,346,075",0.01%
SYSCO CORP COM,2868165,"265,486","32,785,312",0.04%
SYSMEX CORPORATION SHS,6883807,"6,131","183,776",0.00%
T HASEGAWA CO LTD NPV,6899268,"58,203","1,857,238",0.00%
T ROWE PRICE GROUP INC COM,2702337,"2,214","404,474",0.00%
T&D HOLDINGS INC,6744294,"5,559","165,991",0.00%
TABCORP HOLDINGS LIMITED,6873262,"13,647,457","7,710,813",0.01%
TAISEI CORPORATION,6870100,"2,087","142,368",0.00%
TAIWAN SEMICONDUCTOR MANUFAC,6889106,"6,174,999","327,022,616",0.40%
TAIWAN SEMICONDUCTOR-SP ADR,2113382,"678,687","216,480,641",0.26%
TAKEDA PHARMACEUTICAL CO LTD,6870445,"13,980","600,682",0.00%
TAKE-TWO INTERACTIVE S COM,2122117,"1,466","435,712",0.00%
TALANX AG TALANX AG,B8F0TD6,-729,"-100,219",0.00%
TAMBURI INVESTMENT PARTNERS EUR0.52,B0NN179,"976,905","13,707,824",0.02%
TANDEM DIABETES CARE INC TNDM,BF3W461,"479,312","27,884,683",0.03%
TANGSHAN PORT GROUP CO LTD-A,BP3R9F0,"1,548,692","1,604,743",0.00%
TANGSHAN SANYOU CHEMICAL I-A,BP3RB98,"85,857","101,997",0.00%
TARGA RESOURCES CORP COM USD0.001,B55PZY3,"1,434","413,371",0.00%
TARGET CORP COM,2259101,"4,490","980,393",0.00%
TATA CONSULTANCY SVS LTD,B01NPJ1,"1,160,628","89,654,632",0.11%
TAV HAVALIMANLARI HOLDING AS TRY1,B1RMFT9,"238,588","2,985,951",0.00%
TAYLOR WIMPEY PLC,878230,"16,886","41,704",0.00%
TC ENERGY CORP,BJMY6G0,"9,820","738,802",0.00%
TCL CORP-A,BD5CP28,"151,257","167,380",0.00%
TCS GROUP HLDG PLC GDR EACH REPR 1 A REG,BF233S0,"198,998",0,0.00%
TDK CORP TDK CORP,6869302,"15,029","320,106",0.00%
TE CONNECTIVITY PLC,BRC3N84,"3,138","724,589",0.00%
TECHNOLOGY ONE LIMITED NPV(POST RECON),6302410,"2,720,564","85,180,864",0.10%
TECHTRONIC INDUSTRIES CO,B0190C7,"931,501","19,852,010",0.02%
TECK RESOURCES LTD-CLS B,2879327,"64,109","4,195,878",0.01%
TEEJAY LANKA PLC,B5ZXWL3,"4,590,394","1,325,933",0.00%
TELE2 AB-B SHS,B97C733,"-1,496","-23,893",0.00%
TELECOM ITALIA EUR0.55,7634394,"191,023","78,783",0.00%
TELEDYNE TECHNOLOGIES INC COM USD0.01,2503477,469,"351,827",0.00%
TELEFLEX INC COM,2881407,361,"103,893",0.00%
TELEFONICA SA EUR1,5732524,"46,323","305,012",0.00%
TELENOR ASA,4732495,"8,998","162,384",0.00%
TELEPERFORMANCE EUR2.50,5999330,506,"70,408",0.00%
TELEVISION BROADCASTS LTD,B87ZDH1,"1,176,375","741,115",0.00%
TELIA CO AB,5978384,"7,857","35,226",0.00%
TELIX PHARMACEUTICALS LTD TLX,BF7M092,"2,475,869","60,931,147",0.07%
TELKOM INDONESIA PERSERO TBK,BD4T6W7,"268,604,395","73,044,561",0.09%
TELSTRA CORP LTD SHS,6087289,"81,366,297","326,278,849",0.40%
TELUS CORP COM WHEN ISSUE,2381093,"2,010","43,987",0.00%
TEMENOS AG - REG,7147892,411,"46,963",0.00%
TEMPLE & WEBSTER GROUP LTD TPW,BZ1MWM5,"3,417","44,762",0.00%
TENARIS SA,BMHVLR3,"158,174","4,780,224",0.01%
TENCENT HOLDINGS LTD,BMMV2K8,"2,145,781","186,045,329",0.23%
TENCENT HOLDINGS LTD-UNS ADR TCEHY,B3F2DZ7,"235,196","20,201,427",0.02%
TERADYNE INC COM,2884183,"1,625","330,511",0.00%
TERNA SPA SHS,B01BN57,"13,007","165,760",0.00%
TERNIUM SA-SPONSORED ADR ADR EACH REPR 1,B0XGGY0,"268,837","12,626,614",0.02%
TERUMO CORP,6885074,"11,944","375,864",0.00%
TESCO PLC,BLGZ986,"1,305,020","9,722,234",0.01%
TESLA INC,B616C79,"179,765","117,251,227",0.14%
TEVA PHARMACEUTICAL IN ADR,2883878,"9,807","349,116",0.00%
TEXAS INSTRS INC COM,2885409,"9,510","2,880,237",0.00%
TEXAS PACIFIC LAND CORP,BM99VY2,"2,742","4,898,381",0.01%
TFI INTERNATIONAL INC,BDRXBF4,713,"155,585",0.00%
THAI BEVERAGE PCL THB1,B15F664,"43,667,687","28,176,209",0.03%
THAI UNION GROUP PCL F-TU,BYTBHT9,"29,507,792","18,171,729",0.02%
THANACHART CAPITAL-FOREIGN,BF5DGN3,"743,652","1,779,005",0.00%
THE CAMPBELL'S COMPANY,2162845,"1,850","125,150",0.00%
THERMO FISHER SCIENTIFIC INC,2886907,"43,793","36,796,700",0.05%
THOMSON-REUTERS CORP,BPLLTY3,"1,559","404,026",0.00%
THOR INDUSTRIES INC,2889876,"18,701","2,890,780",0.00%
TIANMA MICROELECTRONICS-A,BD5CKM3,"1,704,740","3,386,611",0.00%
TIANSHAN ALUMINUM GROUP CO-A,BMQBT81,"43,271","74,918",0.00%
TIDEWATER INC TDW,BDFGDQ0,"56,913","5,028,983",0.01%
TietoEVRY Oyj,5479702,"575,798","16,390,198",0.02%
TIME DOTCOM COM MYR1,6336538,"1,216,377","2,060,596",0.00%
TINGYI (CAYMAN ISLN) HLDG CO,6903556,"1,531,221","3,221,928",0.00%
TINY LTD,BRJPGZ1,"2,762,434","5,056,670",0.01%
TIS INC,B2Q4CR0,933,"35,831",0.00%
TITAN CO LTD,6139340,"341,843","20,978,660",0.03%
TJX COS INC NEW COM,2989301,"226,822","44,258,115",0.05%
TMK PJSC TRMK,B590TG4,"1,077,500",0,0.00%
T-MOBILE US INC,B94Q9V0,"5,353","1,908,415",0.00%
TMX GROUP LTD COM NPV,B8KH5G7,"3,271","162,656",0.00%
TOAST INC-CLASS A,BP6D7B7,"2,488","146,466",0.00%
TODA CORPORATION,6893884,"291,931","2,887,635",0.00%
TOEI ANIMATION CO LTD,6301871,"19,706","715,913",0.00%
TOEI CO LTD ORD,6895181,"168,345","10,138,182",0.01%
TOHO CO LTD TOHO CO LTD,6895200,296,"18,711",0.00%
TOKIO MARINE HOLDINGS INC,6513126,"17,335","1,020,448",0.00%
TOKYO CEMENT LANKA-NON VOTIN,B0G5FY7,"8,706,573","2,922,839",0.00%
TOKYO ELECTRIC POWER CO HOLDINGS INC,6895404,"14,491","70,736",0.00%
TOKYO ELECTRON LIMITED,6895675,"5,167","1,284,338",0.00%
TOKYO GAS CO LTD,6895448,"4,215","189,304",0.00%
TOKYU CORPORATION,6896548,"4,936","85,618",0.00%
TOPBUILD CORP-W/I,BZ0P3W2,"10,335","5,197,062",0.01%
TOPPAN HOLDINGS INC,6897024,"218,382","9,446,210",0.01%
TORAY INDUSTRIES INC,6897143,"19,905","204,872",0.00%
TORO CO COM,2897040,"168,067","21,743,003",0.03%
TOROMONT INDUSTRIES LTD COM STK NPV,2897103,919,"117,245",0.00%
TORONTO DOMINION BK ON COM NEW,2897222,"17,157","1,474,570",0.00%
TOSEI CORP NPV,6735823,"573,397","14,837,920",0.02%
TOTALENERGIES SE,B15C557,"22,557","2,013,439",0.00%
TOTO LIMITED ORD,6897466,"1,398","54,649",0.00%
TOURMALINE OIL CORP COM NPV,B3QJ0H8,"2,764","206,460",0.00%
TOYO SEIKAN GROUP HOLDINGS LTD,6900267,"500,300","12,373,086",0.02%
TOYOTA INDUSTRIES CORP,6900546,"107,136","14,164,736",0.02%
TOYOTA MOTOR CORP,6900643,"552,475","17,862,142",0.02%
TOYOTA TSUSHO CORP,6900580,"6,577","191,148",0.00%
TPG TELECOM LTD TPG TELECOM LTD,BMB2257,"15,837,404","71,109,945",0.09%
TRACTOR SUPPLY COMPANY COM USD0.008,2900335,"261,748","22,431,323",0.03%
TRADE DESK INC/THE -CLASS A TTD,BD8FDD1,"415,042","78,785,335",0.10%
TRADEWEB MARKETS INC-CLASS A TW,BJXMVK2,"96,213","20,344,394",0.02%
TRANE TECHNOLOGIES PLC,BK9ZQ96,"2,541","1,515,827",0.00%
TRANSOCEAN LTD,B3KFWW1,"465,549","2,819,687",0.00%
TRANSUNION TRU,BYMWL86,"99,302","14,869,187",0.02%
Transurban Group,6200882,"3,984,406","53,351,197",0.07%
TRAVELERS COS INC/THE,2769503,"2,405","935,777",0.00%
TREASURY WINE ESTATES LTD,B61JC67,"9,097,750","103,077,506",0.13%
TRELLEBORG AB-B SHS SER'B'NPV,4902384,"2,244","124,165",0.00%
TREND MICRO INCORPORATED,6125286,"1,528","134,560",0.00%
TRIMBLE LTD,2903958,"2,018","230,333",0.00%
TRINA SOLAR CO LTD-A,BP91P03,"253,219","1,075,160",0.00%
TRIP.COM GROUP LTD,BK1K3N2,"308,147","34,171,692",0.04%
TRIPLE FLAG PRECIOUS MET,BJ171P4,"170,712","4,140,982",0.01%
TRUIST FINANCIAL CORP,BKP7287,"12,597","882,579",0.00%
TRUPANION INC TRUP,BP3YM85,"56,869","4,427,190",0.01%
TRYG A/S,BXDZ972,"2,989","101,563",0.00%
"TSUTSUMI JEWELRY CO.,LTD. TSUTSUMI JEWEL",6907150,"84,478","1,921,266",0.00%
TUAS LTD,BM94P78,"277,141","1,762,615",0.00%
TULLOW OIL PLC SHS,150080,"7,306,174","3,168,560",0.00%
TURACO GOLD LTD,BMCC5V3,"620,887","158,326",0.00%
TWILIO INC -A,BD6P5Q0,"1,539","268,569",0.00%
